# Constructed from biom file
#OTU ID	100bk.effective.fastq	100rh.effective.fastq	1020bk.effective.fastq	1020rh.effective.fastq	1028bk.effective.fastq	1028rh.effective.fastq	102li.effective.fastq	102lo.effective.fastq	102ri.effective.fastq	102ro.effective.fastq	1032li.effective.fastq	1032lo.effective.fastq	1032ri.effective.fastq	1032ro.effective.fastq	1034bk.effective.fastq	1034rh.effective.fastq	1040bk.effective.fastq	1040rh.effective.fastq	1048bk.effective.fastq	1048rh.effective.fastq	104bk.effective.fastq	104rh.effective.fastq	1058li.effective.fastq	1058lo.effective.fastq	1058ri.effective.fastq	1058ro.effective.fastq	1064li.effective.fastq	1064lo.effective.fastq	1064ri.effective.fastq	1064ro.effective.fastq	106bk.effective.fastq	106rh.effective.fastq	1080bk.effective.fastq	1080rh.effective.fastq	1086li.effective.fastq	1086lo.effective.fastq	1086ri.effective.fastq	1086ro.effective.fastq	1088bk.effective.fastq	1088rh.effective.fastq	108li.effective.fastq	108lo.effective.fastq	108ri.effective.fastq	108ro.effective.fastq	1092bk.effective.fastq	1092rh.effective.fastq	1096li.effective.fastq	1096lo.effective.fastq	1096ri.effective.fastq	1096ro.effective.fastq	1098bk.effective.fastq	1098rh.effective.fastq	1106bk.effective.fastq	1106rh.effective.fastq	1107li.effective.fastq	1107lo.effective.fastq	1107ri.effective.fastq	1107ro.effective.fastq	1108li.effective.fastq	1108lo.effective.fastq	1108ri.effective.fastq	1108ro.effective.fastq	1114li.effective.fastq	1114lo.effective.fastq	1114ri.effective.fastq	1114ro.effective.fastq	1120bk.effective.fastq	1120rh.effective.fastq	1124li.effective.fastq	1124lo.effective.fastq	1124ri.effective.fastq	1124ro.effective.fastq	1126li.effective.fastq	1126lo.effective.fastq	1126ri.effective.fastq	1126ro.effective.fastq	1132bk.effective.fastq	1132rh.effective.fastq	1134li.effective.fastq	1134lo.effective.fastq	1134ri.effective.fastq	1134ro.effective.fastq	1144li.effective.fastq	1144lo.effective.fastq	1144ri.effective.fastq	1144ro.effective.fastq	118li.effective.fastq	118lo.effective.fastq	118ri.effective.fastq	118ro.effective.fastq	124li.effective.fastq	124lo.effective.fastq	124ri.effective.fastq	124ro.effective.fastq	126li.effective.fastq	126lo.effective.fastq	126ri.effective.fastq	126ro.effective.fastq	128bk.effective.fastq	128rh.effective.fastq	132bk.effective.fastq	132rh.effective.fastq	20bk.effective.fastq	20rh.effective.fastq	22li.effective.fastq	22lo.effective.fastq	22ri.effective.fastq	22ro.effective.fastq	24bk.effective.fastq	24rh.effective.fastq	28bk.effective.fastq	28rh.effective.fastq	36li.effective.fastq	36lo.effective.fastq	36ri.effective.fastq	36ro.effective.fastq	40bk.effective.fastq	40rh.effective.fastq	50li.effective.fastq	50lo.effective.fastq	50ri.effective.fastq	50ro.effective.fastq	62bk.effective.fastq	62rh.effective.fastq	70li.effective.fastq	70lo.effective.fastq	70ri.effective.fastq	70ro.effective.fastq	74li.effective.fastq	74lo.effective.fastq	74ri.effective.fastq	74ro.effective.fastq	84bk.effective.fastq	84rh.effective.fastq	86li.effective.fastq	86lo.effective.fastq	86ri.effective.fastq	86ro.effective.fastq	92bk.effective.fastq	92rh.effective.fastq	96li.effective.fastq	96lo.effective.fastq	96ri.effective.fastq	96ro.effective.fastq
d6c7f8d6d103063d25d8018b984f9f34	625.0	2244.0	1108.0	1894.0	1972.0	2749.0	99922.0	27986.0	84527.0	65396.0	104692.0	73630.0	96640.0	89713.0	1017.0	2002.0	841.0	1911.0	1111.0	1681.0	1095.0	1283.0	108153.0	91686.0	92390.0	35176.0	100988.0	79699.0	104058.0	87473.0	1431.0	2854.0	838.0	1898.0	108157.0	29032.0	102758.0	92058.0	932.0	1686.0	100536.0	58125.0	97492.0	48932.0	658.0	1996.0	106226.0	88980.0	100105.0	89784.0	828.0	1273.0	1046.0	2136.0	98592.0	88222.0	92182.0	8921.0	98384.0	101091.0	96571.0	44548.0	99432.0	90018.0	99032.0	56655.0	907.0	9014.0	94565.0	94062.0	86884.0	45121.0	97253.0	83922.0	102087.0	96732.0	494.0	11388.0	82733.0	84910.0	98277.0	93272.0	106705.0	84331.0	101169.0	84686.0	99004.0	75781.0	102114.0	92678.0	97307.0	79841.0	99783.0	74228.0	108487.0	99330.0	99908.0	53152.0	1126.0	4001.0	685.0	2697.0	1081.0	2093.0	106431.0	71104.0	99385.0	54489.0	11040.0	5472.0	1013.0	2184.0	97283.0	80785.0	100232.0	82855.0	1211.0	2127.0	97375.0	69631.0	92694.0	42791.0	1219.0	2039.0	112326.0	69588.0	98434.0	87991.0	99176.0	79171.0	101473.0	55400.0	890.0	10925.0	99317.0	69295.0	97361.0	77480.0	1076.0	2192.0	99750.0	74762.0	97852.0	55655.0
69d87e8a07bd3f53552f32c3bd53b93c	10761.0	9604.0	13067.0	9990.0	12084.0	8222.0	240.0	1860.0	59.0	2068.0	322.0	326.0	420.0	774.0	11151.0	13719.0	12735.0	11238.0	12473.0	13938.0	12851.0	10562.0	302.0	233.0	754.0	3512.0	340.0	389.0	411.0	1513.0	14505.0	12035.0	13538.0	12530.0	352.0	1920.0	33.0	296.0	14357.0	10484.0	238.0	1977.0	575.0	6464.0	10381.0	11696.0	406.0	413.0	202.0	3850.0	11580.0	9998.0	10811.0	13035.0	295.0	356.0	708.0	14330.0	310.0	562.0	526.0	937.0	296.0	328.0	712.0	5474.0	11600.0	10166.0	371.0	305.0	996.0	8017.0	300.0	472.0	45.0	188.0	11449.0	11602.0	1883.0	342.0	589.0	566.0	1537.0	304.0	124.0	471.0	47.0	538.0	25.0	1376.0	130.0	456.0	813.0	6992.0	320.0	568.0	102.0	3369.0	9487.0	10547.0	12372.0	10122.0	9126.0	10858.0	319.0	411.0	282.0	5419.0	8599.0	10791.0	9567.0	9844.0	303.0	390.0	271.0	1186.0	10307.0	9519.0	212.0	1962.0	1094.0	33824.0	10910.0	10394.0	314.0	683.0	56.0	1132.0	221.0	927.0	332.0	20400.0	11950.0	8851.0	273.0	605.0	172.0	4207.0	9757.0	10258.0	220.0	841.0	960.0	15136.0
e7f90e58e0dc5692abd393d4dcad900a	7359.0	6396.0	9028.0	8646.0	6585.0	6192.0	128.0	86.0	9.0	97.0	252.0	153.0	15.0	162.0	3990.0	5300.0	5773.0	7351.0	5253.0	5774.0	7819.0	7972.0	225.0	138.0	7.0	6.0	211.0	130.0	0.0	69.0	6451.0	8508.0	5919.0	7492.0	315.0	708.0	0.0	47.0	3531.0	4275.0	91.0	930.0	21.0	124.0	4791.0	3481.0	264.0	165.0	0.0	33.0	6276.0	6844.0	3786.0	3933.0	193.0	147.0	56.0	64.0	167.0	261.0	147.0	27.0	115.0	148.0	0.0	3.0	4017.0	1863.0	283.0	144.0	0.0	0.0	138.0	199.0	0.0	18.0	6118.0	5729.0	1986.0	125.0	4.0	41.0	1230.0	138.0	9.0	109.0	37.0	142.0	3.0	83.0	73.0	186.0	0.0	88.0	132.0	248.0	9.0	241.0	6743.0	6071.0	6478.0	8056.0	7444.0	8350.0	186.0	219.0	0.0	91.0	6618.0	8235.0	7409.0	9497.0	204.0	165.0	118.0	123.0	7897.0	9646.0	154.0	203.0	10.0	102.0	7747.0	9718.0	194.0	234.0	0.0	67.0	178.0	297.0	0.0	74.0	6987.0	9154.0	151.0	187.0	0.0	356.0	6855.0	7700.0	154.0	190.0	5.0	299.0
247afaac6a8282423e684176f7135c5d	2270.0	2054.0	3442.0	2775.0	3282.0	28116.0	49.0	0.0	81.0	29605.0	85.0	167.0	190.0	532.0	3710.0	3039.0	2701.0	2945.0	2943.0	3146.0	2959.0	2202.0	584.0	74.0	713.0	9345.0	78.0	116.0	466.0	392.0	3415.0	2381.0	3383.0	3705.0	99.0	0.0	26.0	372.0	4512.0	2720.0	62.0	500.0	9.0	16735.0	3022.0	3041.0	86.0	101.0	24.0	3472.0	2872.0	2651.0	2827.0	3218.0	77.0	85.0	339.0	1429.0	72.0	164.0	72.0	4646.0	62.0	109.0	302.0	1881.0	2627.0	13635.0	87.0	85.0	9.0	1208.0	91.0	99.0	22.0	229.0	3111.0	3616.0	352.0	77.0	113.0	390.0	245.0	140.0	86.0	2901.0	11.0	130.0	56.0	883.0	46.0	111.0	131.0	598.0	42.0	126.0	124.0	3013.0	2519.0	2400.0	2787.0	2457.0	2553.0	2268.0	48.0	158.0	676.0	3279.0	2042.0	3004.0	2390.0	2085.0	95.0	169.0	94.0	383.0	2298.0	2691.0	409.0	238.0	400.0	553.0	3097.0	2026.0	71.0	183.0	5.0	1340.0	68.0	268.0	305.0	1955.0	2879.0	2065.0	68.0	164.0	11.0	4594.0	2211.0	1640.0	69.0	306.0	24.0	985.0
7c1e752c3d47bb6b666b3849024e116a	1846.0	1789.0	2682.0	1956.0	2272.0	2149.0	50.0	37.0	23.0	683.0	57.0	81.0	219.0	724.0	2247.0	2959.0	2300.0	2550.0	2338.0	2436.0	2878.0	2566.0	68.0	98.0	5455.0	9891.0	78.0	59.0	492.0	1401.0	3094.0	2449.0	2305.0	3128.0	90.0	598.0	73.0	418.0	2495.0	2263.0	56.0	432.0	305.0	2894.0	2734.0	2672.0	101.0	142.0	407.0	6928.0	2872.0	2528.0	2095.0	2344.0	83.0	96.0	2460.0	8904.0	79.0	97.0	559.0	2857.0	75.0	94.0	995.0	6445.0	2695.0	2291.0	110.0	122.0	367.0	17944.0	53.0	105.0	33.0	345.0	2142.0	1955.0	333.0	69.0	256.0	749.0	313.0	166.0	75.0	333.0	18.0	100.0	52.0	374.0	17.0	93.0	475.0	2982.0	109.0	125.0	72.0	3077.0	2024.0	1798.0	1954.0	2432.0	1802.0	1628.0	109.0	140.0	442.0	2551.0	1978.0	1534.0	1673.0	2107.0	72.0	62.0	125.0	988.0	2630.0	1846.0	50.0	895.0	942.0	11733.0	2617.0	1981.0	91.0	112.0	50.0	295.0	68.0	203.0	331.0	2178.0	2051.0	2017.0	55.0	84.0	104.0	1140.0	2000.0	1958.0	61.0	509.0	486.0	3848.0
937440d90ffc59a4b463993698bbb46e	3221.0	5241.0	6822.0	0.0	5474.0	4628.0	0.0	0.0	0.0	140.0	0.0	154.0	0.0	0.0	5448.0	6177.0	0.0	0.0	7338.0	5504.0	4731.0	4888.0	127.0	101.0	0.0	0.0	179.0	169.0	0.0	89.0	6524.0	6566.0	5179.0	5743.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	1848.0	0.0	61.0	5793.0	0.0	164.0	268.0	0.0	56.0	0.0	7103.0	15017.0	0.0	123.0	154.0	126.0	0.0	0.0	190.0	0.0	0.0	159.0	0.0	0.0	0.0	0.0	4909.0	270.0	139.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	865.0	290.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	379.0	0.0	61.0	161.0	259.0	0.0	60.0	139.0	0.0	21.0	697.0	5052.0	5580.0	0.0	0.0	0.0	4477.0	0.0	242.0	0.0	0.0	3714.0	3353.0	4600.0	4301.0	214.0	141.0	0.0	183.0	6495.0	0.0	119.0	193.0	0.0	0.0	4905.0	3840.0	169.0	0.0	0.0	0.0	0.0	493.0	0.0	0.0	0.0	3030.0	109.0	180.0	27.0	278.0	2688.0	3301.0	111.0	305.0	0.0	0.0
b22ab8726db81a26e6aa42e1a78a5cad	2295.0	2761.0	3011.0	2857.0	2444.0	2099.0	67.0	34.0	215.0	73.0	119.0	84.0	0.0	90.0	2888.0	3180.0	2219.0	3073.0	2623.0	3041.0	3092.0	2500.0	77.0	93.0	0.0	37.0	79.0	82.0	0.0	47.0	3212.0	2849.0	2653.0	3049.0	112.0	409.0	3.0	25.0	2592.0	3170.0	81.0	497.0	21.0	49.0	2522.0	2956.0	143.0	122.0	2.0	34.0	2496.0	3017.0	2221.0	2647.0	89.0	95.0	97.0	3.0	90.0	139.0	86.0	0.0	112.0	69.0	3.0	6.0	2247.0	2515.0	119.0	61.0	0.0	0.0	76.0	107.0	0.0	33.0	2439.0	2750.0	355.0	67.0	0.0	32.0	276.0	145.0	4.0	158.0	11.0	73.0	0.0	64.0	41.0	130.0	0.0	67.0	73.0	117.0	2.0	320.0	2629.0	2478.0	2940.0	2636.0	2574.0	3025.0	64.0	147.0	0.0	60.0	2093.0	2310.0	2580.0	2508.0	96.0	92.0	42.0	54.0	2350.0	2201.0	74.0	99.0	0.0	49.0	3585.0	3298.0	96.0	110.0	0.0	98.0	89.0	187.0	0.0	55.0	2488.0	2337.0	120.0	132.0	0.0	134.0	2650.0	2349.0	79.0	132.0	0.0	75.0
bb48e78188e09a3d31597339be19015d	1294.0	2563.0	2777.0	4003.0	2909.0	3001.0	70.0	0.0	0.0	68.0	138.0	76.0	35.0	212.0	3162.0	2263.0	2816.0	2825.0	4048.0	2634.0	2306.0	2547.0	140.0	50.0	0.0	39.0	64.0	64.0	0.0	0.0	2355.0	2552.0	1847.0	1594.0	80.0	232.0	0.0	71.0	2740.0	3125.0	69.0	474.0	48.0	109.0	2175.0	4234.0	67.0	79.0	0.0	0.0	3568.0	4647.0	3222.0	4241.0	33.0	68.0	74.0	33.0	100.0	54.0	71.0	18.0	94.0	57.0	19.0	39.0	4383.0	2954.0	123.0	49.0	0.0	114.0	102.0	97.0	0.0	41.0	3589.0	3025.0	313.0	60.0	0.0	25.0	302.0	94.0	0.0	154.0	0.0	94.0	0.0	100.0	0.0	110.0	0.0	98.0	74.0	141.0	0.0	343.0	1844.0	1628.0	2311.0	2917.0	2640.0	3170.0	73.0	77.0	28.0	114.0	1186.0	2878.0	1691.0	2448.0	102.0	58.0	82.0	158.0	1496.0	2096.0	58.0	86.0	0.0	68.0	1594.0	1666.0	83.0	101.0	0.0	93.0	56.0	200.0	0.0	54.0	1635.0	1216.0	65.0	85.0	0.0	118.0	1070.0	1764.0	39.0	68.0	0.0	77.0
a4a09c37b69b0014cff77ae37be8119f	5006.0	2303.0	2464.0	2742.0	2264.0	1620.0	56.0	278.0	8.0	13.0	60.0	56.0	0.0	15.0	2074.0	2019.0	2069.0	2269.0	2089.0	1980.0	2370.0	2662.0	67.0	45.0	0.0	21.0	62.0	48.0	0.0	15.0	2570.0	3441.0	2882.0	2277.0	83.0	0.0	0.0	11.0	1808.0	1963.0	42.0	512.0	0.0	12.0	2763.0	1736.0	108.0	71.0	3.0	3.0	2306.0	1748.0	1891.0	2601.0	61.0	58.0	25.0	0.0	79.0	87.0	29.0	4.0	45.0	47.0	0.0	0.0	1911.0	1355.0	103.0	107.0	0.0	0.0	61.0	76.0	0.0	0.0	2579.0	1262.0	688.0	49.0	0.0	36.0	239.0	51.0	0.0	35.0	10.0	65.0	0.0	18.0	21.0	50.0	0.0	18.0	10.0	93.0	0.0	146.0	1725.0	1568.0	2207.0	1657.0	1921.0	1761.0	18.0	63.0	0.0	13.0	1969.0	2530.0	2238.0	2525.0	87.0	60.0	22.0	100.0	1939.0	2771.0	42.0	71.0	0.0	12.0	2339.0	3238.0	57.0	110.0	0.0	28.0	40.0	127.0	0.0	29.0	1987.0	2597.0	60.0	97.0	0.0	38.0	1741.0	2906.0	57.0	58.0	0.0	22.0
79d93a6511ae2941158312d093e7215e	0.0	0.0	0.0	6977.0	0.0	0.0	115.0	0.0	0.0	0.0	228.0	0.0	0.0	357.0	0.0	0.0	7585.0	6651.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	194.0	887.0	8.0	121.0	5155.0	6747.0	0.0	0.0	0.0	49.0	0.0	6763.0	0.0	0.0	0.0	0.0	5998.0	0.0	0.0	6478.0	0.0	0.0	0.0	46.0	193.0	0.0	188.0	43.0	0.0	126.0	0.0	60.0	7424.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	6989.0	4848.0	0.0	0.0	0.0	43.0	601.0	189.0	0.0	338.0	0.0	0.0	17.0	39.0	0.0	0.0	0.0	44.0	0.0	289.0	0.0	0.0	0.0	0.0	5885.0	5357.0	5159.0	0.0	110.0	0.0	0.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	0.0	0.0	4544.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	383.0	0.0	200.0	97.0	0.0	0.0	79.0	3857.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0
