"","sample_name","compartment","plant_num","condition","genotype","water_condition","heat_condition","compartment_l","climat_condition","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","data_shannon","data_evenness"
"1004lo","1004lo","lo",1004,"Wen_WW_HS","Wendy","WW","HS","Phylloplane","WW_HS",79,79,0,79,1.69884547542356,3.8463440325688,0.880281482338123
"1004ri","1004ri","ri",1004,"Wen_WW_HS","Wendy","WW","HS","Root endosphere","WW_HS",236,236,0,236,7.53382204304503,3.64291852366766,0.666733284197533
"1004ro","1004ro","ro",1004,"Wen_WW_HS","Wendy","WW","HS","Rhizoplane","WW_HS",344,344,0,344,7.83551841534491,3.88497290369003,0.665162003011352
"100bk","100bk","bk",100,"Wen_WS_OT","Wendy","WS","OT","Bulk soil","WS_OT",436,436,0,436,8.61977138418394,4.96190068153309,0.816418683900497
"100rh","100rh","rh",100,"Wen_WS_OT","Wendy","WS","OT","Rhizosphere","WS_OT",592,592,0,592,9.00591022156666,5.1659692667674,0.809268253680019
"1018bk","1018bk","bk",1018,"Sto_WW_HS","Stocata","WW","HS","Bulk soil","WW_HS",471,471,0,471,8.67409448151852,5.01287651340865,0.814458503646417
"1018rh","1018rh","rh",1018,"Sto_WW_HS","Stocata","WW","HS","Rhizosphere","WW_HS",558,558,0,558,8.84109012237582,5.07769379199042,0.802878809092537
"1020bk","1020bk","bk",1020,"Wen_WW_HS","Wendy","WW","HS","Bulk soil","WW_HS",498,498,0,498,9.51652547036535,5.03000742482842,0.809906830651729
"1020rh","1020rh","rh",1020,"Wen_WW_HS","Wendy","WW","HS","Rhizosphere","WW_HS",525,525,0,525,9.70478527031161,4.98859114618584,0.796467179163807
"1022lo","1022lo","lo",1022,"Wen_WS_HS","Wendy","WS","HS","Phylloplane","WS_HS",353,353,0,353,4.23996899876421,4.61968974257099,0.787473774294433
"1022ri","1022ri","ri",1022,"Wen_WS_HS","Wendy","WS","HS","Root endosphere","WS_HS",247,247,0,247,7.67508192732124,2.81880986677745,0.511637534794417
"1022ro","1022ro","ro",1022,"Wen_WS_HS","Wendy","WS","HS","Rhizoplane","WS_HS",155,155,0,155,5.53347583700423,2.48998026136057,0.493708185139381
"1024bk","1024bk","bk",1024,"Wen_WS_HS","Wendy","WS","HS","Bulk soil","WS_HS",457,457,0,457,8.6747703795464,4.96788258032807,0.811124798338802
"1024rh","1024rh","rh",1024,"Wen_WS_HS","Wendy","WS","HS","Rhizosphere","WS_HS",480,480,0,480,8.28540383244333,4.96181515488114,0.803690810043644
"1026bk","1026bk","bk",1026,"Sto_WS_HS","Stocata","WS","HS","Bulk soil","WS_HS",449,449,0,449,8.75272785986541,4.96189671724961,0.812490276925097
"1026rh","1026rh","rh",1026,"Sto_WS_HS","Stocata","WS","HS","Rhizosphere","WS_HS",614,614,0,614,10.0944239130724,5.13675553465069,0.800118316625087
"1028bk","1028bk","bk",1028,"Sto_WW_HS","Stocata","WW","HS","Bulk soil","WW_HS",454,454,0,454,8.386190662786,4.98149373434937,0.814222718779974
"1028rh","1028rh","rh",1028,"Sto_WW_HS","Stocata","WW","HS","Rhizosphere","WW_HS",544,544,0,544,8.89150288361938,5.02902702403384,0.798391418464599
"102lo","102lo","lo",102,"Sto_WW_OT","Stocata","WW","OT","Phylloplane","WW_OT",458,458,0,458,5.90314844570695,4.04209769235204,0.659732984479648
"102ri","102ri","ri",102,"Sto_WW_OT","Stocata","WW","OT","Root endosphere","WW_OT",304,304,0,304,7.98497767191948,2.62199828186068,0.458629626932845
"102ro","102ro","ro",102,"Sto_WW_OT","Stocata","WW","OT","Rhizoplane","WW_OT",221,221,0,221,6.08313446233748,3.49202096398111,0.646890647256573
"1030bk","1030bk","bk",1030,"Wen_WW_HS","Wendy","WW","HS","Bulk soil","WW_HS",496,496,0,496,9.45522129182704,5.01905476109977,0.808667262006446
"1030rh","1030rh","rh",1030,"Wen_WW_HS","Wendy","WW","HS","Rhizosphere","WW_HS",547,547,0,547,8.96896945934736,5.03879249083946,0.799243938487327
"1032lo","1032lo","lo",1032,"Sto_WW_HS","Stocata","WW","HS","Phylloplane","WW_HS",58,58,0,58,3.61986854400295,0.512934207218992,0.126324690652404
"1032ro","1032ro","ro",1032,"Sto_WW_HS","Stocata","WW","HS","Rhizoplane","WW_HS",246,246,0,246,6.53477253104653,3.50024502427035,0.635791868559567
"1034bk","1034bk","bk",1034,"Wen_WS_HS","Wendy","WS","HS","Bulk soil","WS_HS",459,459,0,459,9.20168593058585,4.95158545503044,0.807887892140718
"1034rh","1034rh","rh",1034,"Wen_WS_HS","Wendy","WS","HS","Rhizosphere","WS_HS",518,518,0,518,8.98303850013906,4.97079537952779,0.795330411217878
"1040bk","1040bk","bk",1040,"Sto_WW_HS","Stocata","WW","HS","Bulk soil","WW_HS",477,477,0,477,8.98659612162745,5.06211745816147,0.820770802257287
"1040rh","1040rh","rh",1040,"Sto_WW_HS","Stocata","WW","HS","Rhizosphere","WW_HS",565,565,0,565,8.92684129887057,5.08644177273489,0.802679762477019
"1046lo","1046lo","lo",1046,"Sto_WS_HS","Stocata","WS","HS","Phylloplane","WS_HS",15,15,0,15,1.89736659610103,0.048590337708677,0.0179429235428871
"1046ri","1046ri","ri",1046,"Sto_WS_HS","Stocata","WS","HS","Root endosphere","WS_HS",156,156,0,156,6.21206435814566,1.41438633322062,0.280084487793342
"1046ro","1046ro","ro",1046,"Sto_WS_HS","Stocata","WS","HS","Rhizoplane","WS_HS",99,99,0,99,3.46701629938511,1.97311733555309,0.429394096324887
"1048bk","1048bk","bk",1048,"Wen_WS_HS","Wendy","WS","HS","Bulk soil","WS_HS",459,459,0,459,7.83517569767951,4.88125136263691,0.796412363309501
"1048rh","1048rh","rh",1048,"Wen_WS_HS","Wendy","WS","HS","Rhizosphere","WS_HS",588,588,0,588,9.68087742692273,5.09488131853371,0.798980630684314
"104bk","104bk","bk",104,"Wen_WS_OT","Wendy","WS","OT","Bulk soil","WS_OT",487,487,0,487,9.04381304620923,5.04068169444339,0.814555034204399
"104rh","104rh","rh",104,"Wen_WS_OT","Wendy","WS","OT","Rhizosphere","WS_OT",467,467,0,467,8.30004772824955,4.90496010269967,0.798030807832114
"1056bk","1056bk","bk",1056,"Wen_WW_HS","Wendy","WW","HS","Bulk soil","WW_HS",510,510,0,510,8.41625411530173,4.8548124104578,0.778712315252281
"1056rh","1056rh","rh",1056,"Wen_WW_HS","Wendy","WW","HS","Rhizosphere","WW_HS",553,553,0,553,8.90699381827801,5.07052691788559,0.802888279122629
"1058lo","1058lo","lo",1058,"Sto_WS_HS","Stocata","WS","HS","Phylloplane","WS_HS",178,178,0,178,6.53297598961598,1.50968548129545,0.291344759317543
