"","sample_name","compartment","plant_num","condition","genotype","water_condition","heat_condition","compartment_l","climat_condition","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","data_shannon","data_evenness"
"100bk","100bk","bk",100,"Wen_WS_OT","Wendy","WS","OT","Bulk soil","WS_OT",763,763,0,763,13.703755787143,4.4569125979093,0.671499070384459
"100rh","100rh","rh",100,"Wen_WS_OT","Wendy","WS","OT","Rhizosphere","WS_OT",770,770,0,770,13.51555140829,4.73001342846873,0.711666492948631
"1020bk","1020bk","bk",1020,"Wen_WW_HS","Wendy","WW","HS","Bulk soil","WW_HS",792,792,0,792,13.7955855917095,4.56802811634011,0.684393752365851
"1020rh","1020rh","rh",1020,"Wen_WW_HS","Wendy","WW","HS","Rhizosphere","WW_HS",750,750,0,750,13.3451114645026,4.5537970023054,0.687877136738204
"1028bk","1028bk","bk",1028,"Sto_WW_HS","Stocata","WW","HS","Bulk soil","WW_HS",741,741,0,741,13.100360040792,4.57472630101616,0.692301130163889
"1028rh","1028rh","rh",1028,"Sto_WW_HS","Stocata","WW","HS","Rhizosphere","WW_HS",654,654,0,654,12.4549954361688,3.84821582139597,0.593575829117038
"102li","102li","li",102,"Sto_WW_OT","Stocata","WW","OT","Leaf endosphere","WW_OT",134,134,0,134,5.55031261725443,0.215815446581162,0.0440633943526135
"102lo","102lo","lo",102,"Sto_WW_OT","Stocata","WW","OT","Phylloplane","WW_OT",156,156,0,156,6.20328696988695,3.1931867649737,0.632332240838072
"102ri","102ri","ri",102,"Sto_WW_OT","Stocata","WW","OT","Root endosphere","WW_OT",103,103,0,103,4.73573483907402,1.28458884727067,0.277165903450453
"102ro","102ro","ro",102,"Sto_WW_OT","Stocata","WW","OT","Rhizoplane","WW_OT",166,166,0,166,6.43456404567018,1.13157820180351,0.221357767008145
"1032li","1032li","li",1032,"Sto_WW_HS","Stocata","WW","HS","Leaf endosphere","WW_HS",136,136,0,136,5.82085500087199,0.272307802082677,0.0554298660126371
"1032lo","1032lo","lo",1032,"Sto_WW_HS","Stocata","WW","HS","Phylloplane","WW_HS",321,321,0,321,7.9052015684615,1.56088337587758,0.270449501706268
"1032ri","1032ri","ri",1032,"Sto_WW_HS","Stocata","WW","HS","Root endosphere","WW_HS",47,47,0,47,3.36439428964118,0.225086937829867,0.0584618983775828
"1032ro","1032ro","ro",1032,"Sto_WW_HS","Stocata","WW","HS","Rhizoplane","WW_HS",209,209,0,209,7.22171101940855,0.815480609328801,0.152644999520366
"1034bk","1034bk","bk",1034,"Wen_WS_HS","Wendy","WS","HS","Bulk soil","WS_HS",769,769,0,769,13.458214482654,4.69815177480385,0.707010904194343
"1034rh","1034rh","rh",1034,"Wen_WS_HS","Wendy","WS","HS","Rhizosphere","WS_HS",724,724,0,724,12.9407382781015,4.52420053039877,0.687068163712871
"1040bk","1040bk","bk",1040,"Sto_WW_HS","Stocata","WW","HS","Bulk soil","WW_HS",725,725,0,725,13.0830767234517,4.5121410542616,0.685093145262271
"1040rh","1040rh","rh",1040,"Sto_WW_HS","Stocata","WW","HS","Rhizosphere","WW_HS",716,716,0,716,12.7197444723289,4.57440523259549,0.695866716422634
"1048bk","1048bk","bk",1048,"Wen_WS_HS","Wendy","WS","HS","Bulk soil","WS_HS",701,701,0,701,12.8382897346009,4.48210708793645,0.684029254936903
"1048rh","1048rh","rh",1048,"Wen_WS_HS","Wendy","WS","HS","Rhizosphere","WS_HS",729,729,0,729,13.0677248248793,4.55721224278963,0.691358891241865
"104bk","104bk","bk",104,"Wen_WS_OT","Wendy","WS","OT","Bulk soil","WS_OT",810,810,0,810,13.866381763455,4.63148949409394,0.691573213278361
"104rh","104rh","rh",104,"Wen_WS_OT","Wendy","WS","OT","Rhizosphere","WS_OT",748,748,0,748,13.2729470350278,4.58987461971021,0.693606636166372
"1058li","1058li","li",1058,"Sto_WS_HS","Stocata","WS","HS","Leaf endosphere","WS_HS",133,133,0,133,5.69394877317832,0.253330970410603,0.0518022259287489
"1058lo","1058lo","lo",1058,"Sto_WS_HS","Stocata","WS","HS","Phylloplane","WS_HS",207,207,0,207,7.14109018862846,0.588621558813345,0.110379260867216
"1058ri","1058ri","ri",1058,"Sto_WS_HS","Stocata","WS","HS","Root endosphere","WS_HS",36,36,0,36,2.95803989154981,0.547142155898819,0.152682925720645
"1058ro","1058ro","ro",1058,"Sto_WS_HS","Stocata","WS","HS","Rhizoplane","WS_HS",115,115,0,115,5.36007787094634,2.12049448316155,0.446896694367051
"1064li","1064li","li",1064,"Wen_WW_HS","Wendy","WW","HS","Leaf endosphere","WW_HS",133,133,0,133,5.69394877317832,0.251630148969839,0.0514544345142363
"1064lo","1064lo","lo",1064,"Wen_WW_HS","Wendy","WW","HS","Phylloplane","WW_HS",403,403,0,403,10.0366573775902,1.21203837414834,0.202042205586356
"1064ri","1064ri","ri",1064,"Wen_WW_HS","Wendy","WW","HS","Root endosphere","WW_HS",42,42,0,42,3.22564131681777,0.361684977178034,0.0967675086660411
"1064ro","1064ro","ro",1064,"Wen_WW_HS","Wendy","WW","HS","Rhizoplane","WW_HS",111,111,0,111,5.265902556042,0.684308612847742,0.145302946068178
"106bk","106bk","bk",106,"Sto_WS_OT","Stocata","WS","OT","Bulk soil","WS_OT",798,798,0,798,13.8078924799132,4.56258750618016,0.682806548208666
"106rh","106rh","rh",106,"Sto_WS_OT","Stocata","WS","OT","Rhizosphere","WS_OT",802,802,0,802,13.7903793853187,4.63898944602849,0.693721265506488
"1080bk","1080bk","bk",1080,"Sto_WW_HS","Stocata","WW","HS","Bulk soil","WW_HS",783,783,0,783,13.6845504893112,4.58709226022085,0.688428772097079
"1080rh","1080rh","rh",1080,"Sto_WW_HS","Stocata","WW","HS","Rhizosphere","WW_HS",795,795,0,795,13.7908911693655,4.5830349102582,0.686253389175977
"1086li","1086li","li",1086,"Sto_WW_HS","Stocata","WW","HS","Leaf endosphere","WW_HS",166,166,0,166,6.2887353872686,0.292221288539294,0.0571639253921692
"1086lo","1086lo","lo",1086,"Sto_WW_HS","Stocata","WW","HS","Phylloplane","WW_HS",166,166,0,166,3.58040180823797,3.64749587018892,0.713518110997201
"1086ri","1086ri","ri",1086,"Sto_WW_HS","Stocata","WW","HS","Root endosphere","WW_HS",30,30,0,30,2.68328157299975,0.186641980142616,0.054875374522194
"1086ro","1086ro","ro",1086,"Sto_WW_HS","Stocata","WW","HS","Rhizoplane","WW_HS",140,140,0,140,5.91064415150449,0.545792581921397,0.110447607342905
"1088bk","1088bk","bk",1088,"Wen_WS_HS","Wendy","WS","HS","Bulk soil","WS_HS",746,746,0,746,13.2971806562454,4.55196504332683,0.688156292255965
"1088rh","1088rh","rh",1088,"Wen_WS_HS","Wendy","WS","HS","Rhizosphere","WS_HS",829,829,0,829,14.1742558730143,4.72604894425489,0.703258053330805
"108li","108li","li",108,"Sto_WS_OT","Stocata","WS","OT","Leaf endosphere","WS_OT",124,124,0,124,5.50879062894465,0.232284238454339,0.0481889357069502
"108lo","108lo","lo",108,"Sto_WS_OT","Stocata","WS","OT","Phylloplane","WS_OT",710,710,0,710,13.0460182258533,2.61419999202823,0.398186517065152
"108ri","108ri","ri",108,"Sto_WS_OT","Stocata","WS","OT","Root endosphere","WS_OT",55,55,0,55,3.60302902872266,0.153664598968747,0.0383458504361506
"108ro","108ro","ro",108,"Sto_WS_OT","Stocata","WS","OT","Rhizoplane","WS_OT",161,161,0,161,6.33436844543199,1.91328193337503,0.37652621124965
"1092bk","1092bk","bk",1092,"Sto_WS_HS","Stocata","WS","HS","Bulk soil","WS_HS",772,772,0,772,13.6878600574877,4.61264264735952,0.693736406312198
"1092rh","1092rh","rh",1092,"Sto_WS_HS","Stocata","WS","HS","Rhizosphere","WS_HS",768,768,0,768,13.5367939951329,4.67275603423123,0.703326899543129
"1096li","1096li","li",1096,"Wen_WS_HS","Wendy","WS","HS","Leaf endosphere","WS_HS",163,163,0,163,6.33037278775128,0.30721990377397,0.0603131075656814
"1096lo","1096lo","lo",1096,"Wen_WS_HS","Wendy","WS","HS","Phylloplane","WS_HS",232,232,0,232,7.60869511672733,0.602225260895416,0.110566238061737
"1096ri","1096ri","ri",1096,"Wen_WS_HS","Wendy","WS","HS","Root endosphere","WS_HS",54,54,0,54,3.46410161513776,0.187390313330865,0.046976952312523
"1096ro","1096ro","ro",1096,"Wen_WS_HS","Wendy","WS","HS","Rhizoplane","WS_HS",121,121,0,121,5.41653422173318,1.02127189573993,0.212951730487398
"1098bk","1098bk","bk",1098,"Wen_WW_HS","Wendy","WW","HS","Bulk soil","WW_HS",741,741,0,741,13.1701211751404,4.59330698595875,0.695112976892756
"1098rh","1098rh","rh",1098,"Wen_WW_HS","Wendy","WW","HS","Rhizosphere","WW_HS",708,708,0,708,12.8768065487005,4.57976087974118,0.697874269762111
"1106bk","1106bk","bk",1106,"Sto_WS_HS","Stocata","WS","HS","Bulk soil","WS_HS",677,677,0,677,12.7404495467342,4.26583145820077,0.65450239503943
"1106rh","1106rh","rh",1106,"Sto_WS_HS","Stocata","WS","HS","Rhizosphere","WS_HS",821,821,0,821,14.0821497915887,4.66167542210368,0.694681375217568
"1107li","1107li","li",1107,"Sto_WS_HS","Stocata","WS","HS","Leaf endosphere","WS_HS",128,128,0,128,5.60064170430496,0.231056379218932,0.0476205560664161
"1107lo","1107lo","lo",1107,"Sto_WS_HS","Stocata","WS","HS","Phylloplane","WS_HS",236,236,0,236,7.6188325988626,0.465720887079159,0.0852370467646517
"1107ri","1107ri","ri",1107,"Sto_WS_HS","Stocata","WS","HS","Root endosphere","WS_HS",161,161,0,161,6.2673362049271,0.604179064357356,0.118900016798644
"1107ro","1107ro","ro",1107,"Sto_WS_HS","Stocata","WS","HS","Rhizoplane","WS_HS",126,126,0,126,5.32216091690178,2.22152981818775,0.459346634652256
