"","sample_name","raw_data_with_chloro_and_mito","raw_without_Cyanobacteria_phylum","raw_without_Chloroplast_genus","raw_without_mitochondria_genus","raw_first_filter","filter_low_count","df_16S_filt_rar_16000"
"1","78ri",19472,18204,18204,17856,17856,17599,16000
"2","1126ri",18490,18477,18477,18413,18413,18396,16000
"3","96ri",19846,19205,19205,18763,18763,18562,16000
"4","1004ri",19008,18990,18990,18943,18943,18712,16000
"5","1064ri",19814,19768,19768,19691,19691,19615,16000
"6","1086ri",23976,23898,23898,23816,23816,23607,16000
"7","124ri",26332,26315,26315,26260,26260,26208,16000
"8","50ri",28499,28443,28443,28368,28368,27666,16000
"9","1022ri",29718,29126,29126,28648,28648,28387,16000
"10","130ri",28861,28847,28847,28832,28832,28703,16000
"11","1070ri",29628,29558,29558,29467,29467,29413,16000
"12","86ri",32286,32263,32263,32217,32217,31679,16000
"13","128bk",32589,32589,32589,32589,32589,32497,16000
"14","72bk",32763,32763,32763,32763,32763,32669,16000
"15","38bk",33469,33467,33467,33462,33462,33359,16000
"16","1114lo",34191,33999,33999,33936,33936,33534,16000
"17","100bk",33718,33718,33718,33718,33718,33623,16000
"18","106bk",34685,34685,34685,34685,34685,34580,16000
"19","84bk",34765,34759,34759,34759,34759,34683,16000
"20","1040bk",34811,34811,34811,34811,34811,34746,16000
"21","112bk",34915,34915,34915,34915,34915,34828,16000
"22","1034bk",35006,35002,35002,34998,34998,34861,16000
"23","1024bk",35073,35064,35064,35064,35064,35005,16000
"24","1026bk",35118,35110,35110,35110,35110,35019,16000
"25","26bk",35252,35245,35245,35245,35245,35218,16000
"26","20bk",35688,35679,35679,35679,35679,35556,16000
"27","132bk",35698,35698,35698,35696,35696,35593,16000
"28","1020bk",35715,35698,35698,35698,35698,35626,16000
"29","28bk",35905,35905,35905,35905,35905,35800,16000
"30","1028bk",36011,36011,36011,36011,36011,35954,16000
"31","1018bk",36260,36254,36254,36254,36254,36165,16000
"32","92bk",36341,36341,36341,36331,36331,36250,16000
"33","104bk",36757,36753,36753,36753,36753,36542,16000
"34","24bk",36689,36689,36689,36689,36689,36597,16000
"35","34bk",36832,36820,36820,36820,36820,36693,16000
"36","62bk",37635,37624,37624,37621,37621,37495,16000
"37","1086lo",78514,39174,39174,38841,38841,37711,16000
"38","1030bk",38428,38422,38422,38419,38419,38322,16000
"39","40bk",38609,38607,38607,38607,38607,38495,16000
"40","122ri",38980,38891,38891,38695,38695,38506,16000
"41","56bk",38772,38762,38762,38762,38762,38670,16000
"42","108ri",39428,39312,39312,39247,39247,38823,16000
"43","140bk",39265,39265,39265,39265,39265,39175,16000
"44","74ri",39455,39433,39433,39375,39375,39270,16000
