Standardized name	Isolate name	Isolation	Ecological origins	Geographical origins	Collection / Provider	Reference
AAA	RM11-1a	Zinfandel vineyard	Wine	California, USA	Kruglyak Laboratory	
AAB	CBS422a	Beer	Beer	Odessa, Ukraine	CBS collection (Nguyen H.V.)	
AAC	CBS2165a	Brewers	Beer	England	CBS collection (Nguyen H.V.)	
AAD	CBS436a	Moto (sake yeast starter)	Sake	Japan	CBS collection (Nguyen H.V.)	
AAE	CBS2806a	Wine	Wine	Slovakia	CBS collection (Nguyen H.V.)	
AAG	CBS428a	Unknown	Unknown	NA	CBS collection (Nguyen H.V.)	
AAH	CBS1388a	Unknown	Unknown	NA	CBS collection (Nguyen H.V.)	
AAI	CBS2966a	Distillery	Distillery	Denmark	CBS collection (Nguyen H.V.)	
AAK	CBS4093a	Film on white wine	Wine	Spain	CBS collection (Nguyen H.V.)	
AAL	CBS1236-a	Bakery	Bakery	France	CBS collection (Nguyen H.V.)	
AAM	CLIB192_1b	Bakery	Bakery	France	CLIB collection	1
AAN	CLIB274_1	Bakery	Bakery	Czech Republic	CLIB collection	1
AAP	CLIB326_1	Bakery	Bakery	Australia	CLIB collection	1
AAQ	CLIB272_2	Beer	Beer	USA	CLIB collection / Charles University, Prague, Czech Republic (Vondrejs V.)	1
AAR	CLIB382_1b	Beer	Beer	Ireland	CLIB collection	1
AAS	YJM145_b	AIDS patient	Human, clinical	USA	Kruglyak Laboratory	1
AAT	YJM280_b	Peritoneal fluid	Human, clinical	USA	Kruglyak Laboratory	1
AAV	YJM320b	Blood	Human, clinical	California, USA	Kruglyak Laboratory	1
ABA	YJM326_b	Human, clinical 	Human, clinical	California, USA	Kruglyak Laboratory	1
ABB	YJM413_b	Blood	Human, clinical	USA	Kruglyak Laboratory	1
ABC	YJM421_b	Ascites fluid	Human, clinical	USA		1
ABD	YJM428_1b	Paracenteis fluid	Human, clinical	California, USA	Kruglyak Laboratory	1
ABE	YJM434_1b	Human, clinical 	Human, clinical	NA	Kruglyak Laboratory	1
ABF	YJM436_1b	Mouth	Human, clinical	NA	Kruglyak Laboratory	1
ABG	YJM440_1b	Human, clinical 	Human, clinical	NA	Kruglyak Laboratory	1
ABH	YJM454_1b	Human, clinical 	Human, clinical	NA	Kruglyak Laboratory	1
ABI	YJM653_1b	Brochoalveolar lavage	Human, clinical	USA	Kruglyak Laboratory	1
ABK	YJM678_1b	Unknown	Human, clinical	NA	Kruglyak Laboratory	1
ABL	CBS2888_1b	Soil	Soil	South Africa	CBS collection (Nguyen H.V.)	1
ABM	CBS3093_1b	Alpechin (waste from olive oil production)	Industrial	Spain	CBS collection (Nguyen H.V.)	1
ABP	CECT10109_1b	Prickly pear	Fruit	Spain	CECT collection	1
ABQ	DBVPG1788_1b	Soil	Soil	Finland	Kruglyak Laboratory	1
ABR	DBVPG1794_1b	Soil	Soil	Finland	Kruglyak Laboratory	1
ABS	DBVPG3591_1b	Cocoa beans	Nature	NA	DBVPG collection	1
ABT	DBVPG4651_1b	Tuber magnatum	Nature	Italy	DBVPG collection	1
ABV	DBVPG6861	Poluted stream	Water	Tijuca forest, Rio de Janeiro, Brazil	DBVPG collection	1
ACA	EM93_3	Rotting fig	Fruit	California, USA	Kruglyak Laboratory	1
ACB	TL229S2.2	Cheese	Dairy	France	Kruglyak Laboratory	1
ACC	YPS1000_1b	Exudate from Quercus sp.	Tree	USA		1
ACD	YPS163_1b	Exudate from Quercus sp.	Tree	USA	Kruglyak Laboratory	1
ACF	CLIB294_1b	Distillery	Distillery	France	CLIB collection / Bureau National Interprofessionnel du Cognac	1
ACG	CLIB413_1b	Fermenting rice beverage	Fermentation	China	CLIB collection	1
ACH	CLIB483_1b	Cider	Cider	Brittany, France	CLIB collection	1
ACI	Y10_1b	Coconut	Fruit	Philippines		1
ACK	Y12_1b	Palm wine	Palm wine	Ivory Coast	Kruglyak Laboratory	1
ACL	Y3_1b	Palm wine	Palm wine	NA		1
ACM	Y9_4	Ragi fermentation	Fermentation	Indonesia	Kruglyak Laboratory	1
ACN	YJM269_1b	Red Blauer Portugieser grapes	Wine	Austria	Kruglyak Laboratory	1
ACP	CLIB154_1b	Wine	Wine	Russia	Kruglyak Laboratory	1
ACQ	CLIB219_2b	Wine	Wine	Russia	CLIB collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	1
ACR	DBVPG1339_1b	Grapes	Wine	Netherlands	Kruglyak Laboratory	1
ACS	I14_1b	Vineyard soil	Wine	Italy	Kruglyak Laboratory	1
ACT	UC8_1b	Wine	Wine	South Africa	Kruglyak Laboratory	1
ACV	WE372_1b	Wine	Wine	South Africa	Kruglyak Laboratory	1
ADA	Y55_1b	Wine	Wine	France	Kruglyak Laboratory	1
ADB	Y9J_1b	Wine	Wine	Japan	Kruglyak Laboratory	1
ADC	UC1_1b	Wine	Wine	France	Kruglyak Laboratory	1
ADD	IL_01_b	Soil	Soil	Illinois, USA	Kruglyak Laboratory	1
ADE	PW5_b	Raphia palm wine	Palm wine	Aba, Abia State, Nigeria	Kruglyak Laboratory	1
ADF	YPS1009_b	Exudate from Quercus sp.	Tree	USA	Kruglyak Laboratory	1
ADG	NC_02_b	Exudate from Quercus sp.	Tree	North Carolina, USA		1
ADH	T7_b	Exudate from Quercus sp.	Tree	Babler State Park, MO, USA	Kruglyak Laboratory	1
ADI	YJM981_b	Vagina	Human, clinical	Italy	Phaff collection	1
ADK	CLIB208_1	Bakery	Bakery	Shanaong, China	CLIB collection	1
ADL	CLIB318_1	Bakery	Bakery	Netherlands	CLIB collection	1
ADM	CLIB324_2	Bakery	Bakery	Vietnam	CLIB collection	1
ADN	K1_1	Sake	Sake	Japan	Kruglyak Laboratory	1
ADP	Y6_b	Unknown	Unknown	French Guiana	Kruglyak Laboratory	1
ADQ	K12_2	Sake (shochu)	Sake	Japan	Kruglyak Laboratory	1
ADR	M22_1b	Vineyard	Wine	Italy	Kruglyak Laboratory	1
ADS	T73_1b	Monastrel grape fermentation (red wine)	Wine	Alicante, Spain	Kruglyak Laboratory	1
ADT	CBS7765	Salmo gairdneri (rainbow trout)	Nature	Sweden, Goteborg	CBS collection (Nguyen H.V.)	
ADV	CBS7903	Palm wine	Palm wine	Nigeria	CBS collection (Nguyen H.V.)	
AEA	CBS7958	Factory producing cassava flour	Industrial	Sao Paulo, Brazil	CBS collection (Nguyen H.V.)	
AEB	CBS1171	Brewers top yeast	Beer	Oranjeboom brewery, Rotterdam, Netherlands	CBS collection (Nguyen H.V.)	
AEC	CBS1248	Brewers yeast	Beer	NA	CBS collection (Nguyen H.V.)	
AEE	CBS2441	Distillery	Distillery	NA	CBS collection (Nguyen H.V.)	
AEF	CBS6414	Sake yeast	Sake	Japan	CBS collection (Nguyen H.V.)	
AEG	CBS7962	Fermenting concentrated syrup (sugar cane)	Industrial	Brazil	CBS collection (Nguyen H.V.)	
AEH	CBS7964	Fermenting concentrated syrup (sugar cane)	Industrial	Brazil	CBS collection (Nguyen H.V.)	
AEI	CBS1428	Bakery	Bakery	NA	CBS collection (Nguyen H.V.)	
AEK	CBS4079	Film on white wine	Wine	Spain	CBS collection (Nguyen H.V.)	
AEL	CBS1394	Distillery	Distillery	NA	CBS collection (Nguyen H.V.)	
AEM	CBS2973	Beer wort	Beer	NA	CBS collection (Nguyen H.V.)	
AEN	CBS4454	Kaffir beer	Beer	South Africa	CBS collection (Nguyen H.V.)	
AEP	CBS1508	Starter for sorghum brandy	Distillery	NA	CBS collection (Nguyen H.V.)	
AEQ	CBS1782	Super-attenuated beer	Beer	Japan	CBS collection (Nguyen H.V.)	
AER	CBS2970	Blackstrap molasses	Industrial	San Jose sugar mill, Rio Piedras, Puerto Rico	CBS collection (Nguyen H.V.)	
AES	CBS4054	Red wine	Wine	Spain	CBS collection (Nguyen H.V.)	
AET	CBS6007	Wine	Wine	Spain	CBS collection (Nguyen H.V.)	
AEV	CBS6216	Tapwater	Water	Rotterdam, Netherlands	CBS collection	
AFA	CBS6503	Brewery	Beer	UK	CBS collection (Nguyen H.V.)	
AFB	CBS7371	Brewery	Beer	UK	CBS collection (Nguyen H.V.)	
AFC	CBS7764	Salmo gairdneri (rainbow trout)	Nature	Goteborg, Sweden	CBS collection (Nguyen H.V.)	
AFD	CBS7960	Factory producing ethanol (sugar cane syrup)	Industrial	Sao Paulo, Brazil	CBS collection (Nguyen H.V.)	
AFE	CBS8291	Seawater	Water	Sweden	CBS collection (Nguyen H.V.)	
AFF	CBS1252	Bakery	Bakery	France	CBS collection (Nguyen H.V.)	
AFG	CBS1387	Bakery	Bakery	NA	CBS collection (Nguyen H.V.)	
AFH	CBS1509	Distillery	Distillery	NA	CBS collection (Nguyen H.V.)	
AFI	CBS2183	Wine	Wine	Chateau Chalon France	CBS collection (Nguyen H.V.)	
AFK	CBS2992	Palm wine	Palm wine	Pakistan	CBS collection (Nguyen H.V.)	
AFL	CBS4456	Kaffir beer	Beer	South Africa	CBS collection (Nguyen H.V.)	
AFM	CBS6412	Sake yeast	Sake	Japan	CBS collection (Nguyen H.V.)	
AFN	CBS6413	Sake yeast	Sake	Japan	CBS collection (Nguyen H.V.)	
AFP	CBS6505	Brewery (Killer strain responsible for death of brewing yeast)	Beer	UK	CBS collection (Nguyen H.V.)	
AFQ	CBS7993	Fresh water	Water	Rio de Janeiro, Tijuca National Forest, Cushvara River, Brazil	CBS collection (Nguyen H.V.)	
